lsoa11cd,FHRSID
E01001514,27
E01001515,28
E01001516,26
E01001517,34
E01001518,43
E01001519,26
E01001520,22
E01001521,24
E01001522,4
E01001523,4
E01001524,23
E01001525,22
E01001526,13
E01001527,47
E01001528,31
E01001529,30
E01001530,34
E01001531,20
E01001532,25
E01001533,15
E01001534,26
E01001535,28
E01001536,54
E01001537,19
E01001538,21
E01001539,25
E01001540,29
E01001541,51
E01001542,57
E01001543,27
E01001544,42
E01001545,29
E01001546,41
E01001547,40
E01001548,39
E01001549,39
E01001550,41
E01001551,13
E01001552,47
E01001553,37
E01001554,78
E01001555,79
E01001556,21
E01001557,77
E01001558,78
E01001559,60
E01001560,33
E01001562,38
E01001563,35
E01001564,23
E01001565,26
E01001566,29
E01001567,22
E01001568,24
E01001569,21
E01001570,21
E01001571,26
E01001572,20
E01001573,26
E01001574,28
E01001575,18
E01001576,13
E01001577,19
E01001578,20
E01001579,24
E01001580,15
E01001581,24
E01001582,20
E01001583,19
E01001584,21
E01001585,37
E01001586,27
E01001587,21
E01001588,22
E01001589,39
E01001590,43
E01001591,36
E01001592,51
E01001593,34
E01001594,38
E01001595,30
E01001596,16
E01001597,15
E01001598,17
E01001599,15
E01001600,17
E01001601,20
E01001602,23
E01001603,16
E01001604,39
E01001605,6
E01001606,11
E01001607,20
E01001608,36
E01001609,38
E01001610,12
E01001611,14
E01001613,33
E01001614,13
E01001615,37
E01001617,15
E01001618,17
E01001619,17
E01001620,26
E01001621,38
E01001623,8
E01001624,9
E01001625,9
E01001629,87
E01001631,73
E01001632,56
E01001633,85
E01001634,91
E01001635,49
E01001636,48
E01001637,71
E01001638,88
E01001640,57
E01001641,38
E01001642,35
E01001644,94
E01001645,11
E01001646,12
E01001647,12
E01001648,7
E01001649,11
E01001650,19
E01001651,14
E01001652,25
E01001653,5
E01001654,10
E01001655,20
E01001656,27
E01001657,35
E01001658,13
E01001659,6
E01001660,8
E01001661,23
E01001662,23
E01001664,26
E01001665,35
E01001666,46
E01001667,27
E01001668,28
E01001669,23
E01001671,32
E01001672,45
E01001673,48
E01001674,45
E01001675,49
E01001676,36
E01001677,44
E01001678,8
E01001679,22
E01001680,26
E01001681,34
E01001682,6
E01001683,37
E01001684,11
E01001685,12
E01001686,28
E01001687,29
E01001688,9
E01001690,8
E01001692,9
E01001693,7
E01001694,11
E01001695,97
E01001696,90
E01001697,87
E01001698,38
E01001699,87
E01001700,81
E01001701,27
E01001702,33
E01001703,42
E01001704,42
E01001705,59
E01001706,22
E01001708,23
E01001709,28
E01001710,40
E01001711,23
E01001712,59
E01001713,20
E01001714,54
E01001715,65
E01001716,68
E01001717,62
E01001718,73
E01001719,73
E01001720,74
E01001722,94
E01001723,104
E01001724,118
E01001725,106
E01001726,106
E01001727,95
E01001728,84
E01001729,89
E01001730,109
E01001731,120
E01001732,117
E01001733,82
E01001734,100
E01001735,102
E01001736,117
E01001737,97
E01001738,81
E01001739,112
E01001740,158
E01001741,104
E01001742,98
E01001744,144
E01001745,149
E01001746,175
E01001747,153
E01001748,140
E01001749,164
E01001750,124
E01001751,130
E01001752,92
E01001753,84
E01001754,81
E01001755,102
E01001756,141
E01001757,104
E01001758,131
E01001759,177
E01001760,111
E01001761,167
E01001762,152
E01001763,166
E01001764,118
E01001765,126
E01001767,80
E01001768,109
E01001769,126
E01001770,76
E01001772,103
E01001773,102
E01001774,130
E01001775,140
E01001776,119
E01001777,118
E01001779,107
E01001780,106
E01001781,99
E01001782,114
E01001783,90
E01001784,109
E01001785,46
E01001786,38
E01001787,55
E01001788,34
E01001789,62
E01001790,37
E01001791,53
E01001792,73
E01001793,68
E01001794,98
E01001795,92
E01001796,88
E01001798,51
E01001799,93
E01001800,101
E01001801,74
E01001802,92
E01001803,55
E01001804,54
E01001805,100
E01001806,90
E01001807,71
E01001808,79
E01001809,83
E01001811,59
E01001812,71
E01001813,41
E01001814,81
E01001815,108
E01001816,170
E01001819,146
E01001820,113
E01001821,108
E01001822,48
E01001823,51
E01001824,82
E01001825,50
E01001826,77
E01001827,39
E01001828,37
E01001829,101
E01001830,130
E01001831,119
E01001832,111
E01001833,167
E01001834,179
E01001835,176
E01001836,90
E01001837,121
E01001838,97
E01001839,118
E01001840,103
E01001841,62
E01001842,111
E01001843,99
E01001844,85
E01001845,45
E01001846,24
E01001847,49
E01001848,43
E01001849,27
E01001850,61
E01001851,120
E01001852,109
E01001853,133
E01001854,113
E01001855,69
E01001856,120
E01001857,109
E01001858,88
E01001859,54
E01001860,81
E01001861,56
E01001862,99
E01001863,84
E01001864,86
E01001865,52
E01001866,51
E01001867,80
E01001868,65
E01001869,89
E01001870,82
E01001871,66
E01001872,64
E01001873,70
E01001874,32
E01001875,30
E01001876,35
E01001877,24
E01001878,26
E01001879,83
E01001880,71
E01001881,77
E01001882,81
E01001883,82
E01001884,92
E01001885,78
E01001886,70
E01001887,41
E01001888,35
E01001889,68
E01001890,61
E01001891,58
E01001892,72
E01001893,72
E01001894,71
E01001895,124
E01001896,143
E01001897,125
E01001898,93
E01001899,67
E01001900,73
E01001901,77
E01001902,75
E01001903,79
E01001904,45
E01001905,44
E01001906,40
E01001907,45
E01001908,75
E01001909,75
E01001910,79
E01001911,89
E01001912,92
E01001913,76
E01001914,68
E01001915,42
E01001916,57
E01001917,29
E01001918,29
E01001919,25
E01001920,77
E01001921,64
E01001922,60
E01001923,49
E01001924,48
E01001925,44
E01001926,45
E01001927,67
E01001928,110
E01001929,84
E01001930,66
E01001931,69
E01001932,62
E01001933,67
E01001934,40
E01001935,33
E01001937,30
E01001938,39
E01001939,43
E01001940,119
E01001941,120
E01001942,123
E01001943,117
E01001944,107
E01001945,117
E01001946,111
E01001947,74
E01001948,68
E01001949,73
E01001950,77
E01001951,47
E01001952,47
E01001953,71
E01001954,69
E01001955,65
E01001956,69
E01001957,71
E01001958,44
E01001959,48
E01001960,93
E01001961,74
E01001962,25
E01001963,20
E01001964,26
E01001965,20
E01001966,21
E01001967,30
E01001968,28
E01001969,62
E01001970,33
E01001971,63
E01001972,51
E01001973,35
E01001974,54
E01001975,57
E01001976,65
E01001977,66
E01001978,60
E01001979,109
E01001980,86
E01001981,108
E01001982,96
E01001983,72
E01001984,46
E01001985,43
E01001986,53
E01001987,27
E01001988,58
E01001989,46
E01001990,48
E01001991,27
E01001992,29
E01001993,35
E01001994,21
E01001995,5
E01001996,29
